Kategori,Produk Jasa (Fase 1),Cara Kerja Manual (Concierge),Jalur Menuju Otomasi (Fase 2),"Patokan ""Layak Dijual"" (Fase 1)",Kenapa Dibutuhkan di Era AI/LLM,Kenapa Tdk Pakai ChatGPT Saja?
Analisis Log & Data,17. Migrasi Aturan SIEM (dari Splunk ke Sentinel),"Klien memberi 50 aturan Splunk. Anda gunakan LLM_Analyzer untuk ""menerjemahkan"" logikanya ke format KQL (Microsoft Sentinel). Anda perbaiki manual.","Alat web: Kotak teks 1 untuk menempelkan kueri Splunk, kotak teks 2 menampilkan hasil konversi KQL oleh LLM.",Saat LLM_Analyzer Anda (dengan prompt khusus) dapat menerjemahkan kueri Splunk sederhana ke KQL dengan akurasi >70% (Anda perbaiki sisanya).,"Ini adalah kasus penggunaan ""penerjemahan kode"" klasik untuk LLM. Sangat dibutuhkan karena migrasi SIEM itu mahal, dan LLM bisa memotong biaya 80%.","Klien bisa melakukan ini, tapi hasilnya mungkin 50% salah. Mereka membayar Anda untuk prompt yang teruji dan validasi pakar 30% sisanya untuk menjamin akurasi."
Pelaporan & Sintesis,18. Laporan Eksekutif Keamanan Bulanan,"Klien mengirim beberapa CSV (alert, vuln, patch). Anda gabungkan (Pandas), sintesis (LLM_Analyzer), visualisasikan, dan buat laporan 1 halaman.","Alat web: Klien mengunggah semua file sumber, platform menghasilkan draf laporan eksekutif yang dapat diedit.",Saat Anda memiliki template PDF/PPT 1 halaman yang kuat & skrip LLM_Analyzer bisa meringkas 3 file CSV menjadi 3 poin ringkasan.,"LLM adalah alat sintesis terbaik. Jasa ini adalah ""Analis AI"" Anda, mengubah data teknis (Pandas) menjadi wawasan bisnis (LLM_Analyzer).",Privasi & Alur Kerja. Klien tidak akan mengunggah 3 CSV data internal ke AI publik. Jasa Anda menggabungkan Pandas (gabungkan data) + LLM (sintesis) dalam lingkungan tepercaya.
Pelaporan & Sintesis,19. Pembuatan Dasbor Cepat (dari CSV),Klien mengirim CSV. Anda jalankan Dashboard_Prompts_Synthesis untuk membuat dasbor (HTML/PNG) & mengirimkannya kembali.,"Alat web ""CSV-to-Dashboard"": Unggah CSV, dapatkan dasbor interaktif dalam 30 detik.",Saat skrip Dashboard_Prompts_Synthesis Anda bisa mengambil CSV & menghasilkan file HTML/PNG berisi 2-3 grafik yang relevan.,"LLM (Dashboard_Prompts_Synthesis) dapat menafsirkan maksud di balik CSV (misal: ""Ini data login"") & secara otomatis memilih visualisasi terbaik.","ChatGPT bisa menganalisis data, tapi tidak bisa membuat file dasbor (HTML/PNG) yang interaktif (Data_Visualization). Jasa Anda adalah generator kode/visual, bukan chatbot."
Pelaporan & Sintesis,20. Analisis Sentimen (dari Umpan Balik Karyawan),Klien mengirim CSV hasil survei security awareness. Anda jalankan LLM_Analyzer untuk analisis sentimen & topik utama keluhan.,"Alat web: Unggah CSV survei, dapatkan laporan sentimen & topik utama.","Saat LLM_Analyzer Anda dapat secara akurat mengklasifikasikan 10 baris teks sebagai ""Positif/Negatif/Netral"" & mengekstrak 3 topik utama.","Ini adalah kasus penggunaan klasik LLM (NLP). Tim keamanan membutuhkannya untuk mengukur efektivitas pelatihan, tetapi tidak punya alat NLP sendiri.",Privasi. Umpan balik karyawan bersifat rahasia dan sensitif. Klien tidak akan menempelkan data survei internal ke ChatGPT publik karena risiko kebocoran data.
Pelaporan & Sintesis,21. Pembuatan Narasi Insiden (Post-Mortem),Klien mengirim log timeline insiden. Anda gunakan LLM_Analyzer untuk mengubah poin-poin teknis menjadi narasi laporan post-mortem yang jelas.,"Alat web: Tempelkan timeline mentah, dapatkan draf narasi post-mortem yang ditulis dengan baik.",Saat Anda memiliki prompt LLM_Analyzer yang kuat & template Word/PDF untuk laporan post-mortem yang siap diisi.,"Analis teknis benci menulis laporan. LLM jago mengubah ""log teknis"" menjadi ""prosa bisnis"". Ini menghemat waktu analis pasca-insiden.",Privasi & Konteks. Log timeline insiden adalah data paling sensitif pasca-serangan. Klien tidak akan membocorkannya ke AI publik. Mereka membayar Anda untuk kepercayaan.
Operasi Umum (GABUNGAN),"22. Paket ""Validasi Ancaman Cepat""","Klien mengirim 1 IP, 1 Hash, 1 CVE. Anda jalankan 3 skrip Anda, gabungkan hasilnya manual, dan beri skor risiko ""Tinggi/Sedang/Rendah"".","API ""Skor Risiko Terpadu"": POST /validate dengan JSON IoC, dapatkan balasan JSON berisi skor risiko gabungan.","Saat ketiga skrip inti Anda (IoC_Scanner, LLM_CVE_Analyzer) berfungsi & Anda punya template balasan email sederhana untuk skor risiko.","Di era AI, konteks adalah segalanya. Jasa ini tidak hanya memberi data (IoC scan), tapi wawasan (analisis LLM), menggabungkan 3 alat menjadi 1 jawaban.","Jasa Anda adalah orkestrator alur kerja. Klien harus membuka 3 tab (VT, ChatGPT, NVD) untuk melakukan ini. Anda melakukannya dalam 1 langkah."
Operasi Umum (GABUNGAN),"23. Jasa ""Pembersihan Data Excel"" Keamanan","Klien mengirim file Excel (misal: inventaris aset) yang berantakan. Anda gunakan Pandas_Transform untuk membersihkan, mendeduplikasi, & mengisinya.","Alat web: Unggah file Excel, pilih ""tindakan pembersihan"" (deduplikasi, isi otomatis), unduh file yang sudah bersih.","Saat skrip Pandas_Transform Anda dapat melakukan 3 fungsi pembersihan dasar (misal: hapus duplikat, standarkan kolom ""OS"").","Sama seperti No. 15. Anda menjual jasa ""pembersihan data"" agar data inventaris mereka siap untuk diimpor ke alat AI/CMDB modern.","ChatGPT tidak bisa memproses file Excel. Jasa Anda adalah alat ETL (Pandas), yang merupakan langkah sebelum data bisa digunakan oleh AI."
Operasi Umum (GABUNGAN),24. Konverter Laporan (JSON ke CSV ke PDF),Klien mengirim hasil API (JSON). Anda gunakan Pandas_Transform untuk mengubahnya jadi CSV atau PDF yang cantik.,"Alat web ""Konverter Laporan"": Tempel JSON, dapatkan CSV/PDF.",Saat skrip Pandas_Transform Anda bisa mengambil JSON nested dan meratakannya (flatten) menjadi CSV/Excel yang rapi.,Alat-alat AI modern seringkali mengeluarkan output JSON yang kompleks. Perusahaan (terutama non-teknis) masih hidup di Excel/PDF. Anda adalah jembatannya.,"ChatGPT menghasilkan JSON, tapi tidak bisa mengonversinya ke file CSV/Excel yang terstruktur rapi. Jasa Anda adalah utilitas data (Pandas), bukan AI."
Operasi Umum (GABUNGAN),25. Jasa Analisis Risiko Vendor (Ringkasan),Klien mengirim laporan SOC2 Vendor (PDF 80 halaman). Anda jalankan LLM_Analyzer untuk meringkas kontrol utama & pengecualian.,"Alat web: Unggah laporan SOC2/Audit, dapatkan ringkasan 1 halaman (poin-poin risiko utama).","Saat LLM_Analyzer Anda (dengan RAG sederhana/prompt panjang) bisa ""membaca"" PDF & mengekstrak 5-10 poin risiko utama atau ""pengecualian"" (exceptions).","Sangat dibutuhkan. Tidak ada yang membaca laporan SOC2 80 halaman. LLM adalah satu-satunya alat yang bisa ""membaca"" dan ""meringkas"" dokumen hukum/audit yang padat ini.","Privasi & Skala. Laporan SOC2 bersifat rahasia. Klien tidak akan mengunggahnya ke AI publik. Selain itu, LLM publik mungkin memiliki batasan token untuk PDF 80 halaman."
PLAYA (Operasi Umum (GABUNGAN)),26. Pembuatan Kebijakan (Draf Awal),"Klien berkata ""Saya butuh kebijakan WFH"". Anda gunakan LLM_Analyzer (dengan prompt teknik) untuk membuat draf kebijakan keamanan WFH.","Alat web ""Generator Kebijakan"": Klien pilih topik (WFH, AUP), alat menghasilkan draf kebijakan yang kuat.","Saat Anda memiliki 5-10 prompt LLM yang ""teruji"" untuk menghasilkan draf kebijakan yang 80% siap pakai untuk topik umum (AUP, WFH, IR).","LLM sangat baik dalam bootstrapping dokumen. Klien membayar Anda bukan untuk ""menjalankan prompt"", tapi untuk prompt yang sudah teruji & divalidasi oleh pakar (Anda).","Klien bisa melakukan ini, tapi hasilnya generik. Mereka membayar Anda untuk template prompt yang tervalidasi pakar. Anda menjual keahlian Anda, bukan akses ke AI."
Operasi Umum (GABUNGAN),27. Analisis Kontrol Kepatuhan (Compliance),"Klien mengirim daftar kontrol (misal: ISO 27001). Anda gunakan LLM_Analyzer untuk meringkas & menjelaskan ""apa yang harus dilakukan"" per kontrol.","Bot ""Tanya Standar"": Klien bertanya, ""Apa yang ISO 27001 A.5.1 minta?"" bot LLM menjawab dengan penjelasan sederhana.","Saat LLM_Analyzer Anda bisa menjawab pertanyaan sederhana tentang 1-2 kerangka kerja (misal: ""Apa itu ISO 27001 A.5.1?"") dengan akurat.","Standar kepatuhan (ISO, NIST, PCI) padat dan sulit dibaca. LLM dapat bertindak sebagai ""Penerjemah"" dari bahasa kepatuhan yang kaku ke langkah aksi yang jelas.","ChatGPT mungkin berhalusinasi tentang standar kepatuhan. Jasa Anda (menggunakan RAG/konteks teruji) memberikan jawaban yang akurat dan spesifik pada standar tersebut, divalidasi oleh Anda."
Operasi Umum (GABUNGAN),28. Pemantauan Reputasi IP/Domain,"Klien memberi daftar IP/Domain. Setiap minggu, Anda jalankan IoC_Scanner pada daftar itu untuk melihat apakah ada yang masuk blacklist, lalu lapor.","Layanan SaaS: Klien memasukkan aset, platform memindai setiap hari & mengirim alert jika reputasi aset berubah.",Sama seperti No. 6. Skrip IoC_Scanner Anda adalah produknya. Siap dijual jika bisa memindai 100 IP & memberi laporan CSV.,Diperlukan sebagai data dasar. Data reputasi ini adalah input penting untuk model AI yang lebih canggih (misal: penilai risiko).,"ChatGPT tidak memiliki data real-time. Jasa Anda adalah layanan data yang terhubung ke API reputasi, bukan layanan AI."
Operasi Umum (GABUNGAN),29. Analisis Malware Sederhana (Ringkasan),Klien mengirim hash MD5. Anda jalankan di IoC_Scanner (via VirusTotal API) & gunakan LLM_Analyzer untuk meringkas laporan VT menjadi 3 kalimat.,"Alat web: Tempel hash, dapatkan ringkasan perilaku malware yang mudah dibaca.","Saat IoC_Scanner Anda bisa mengambil data VT API & LLM_Analyzer bisa meringkas JSON mentah VT menjadi 3 poin penting (misal: ""Jenis: Ransomware"", ""Terdeteksi oleh: 60/70"").","Laporan VirusTotal sangat teknis. Jasa ini menggunakan LLM untuk ""menerjemahkan"" laporan teknis VT menjadi ringkasan yang dapat ditindaklanjuti oleh analis junior/manajer IT.",Ini adalah alur kerja (API -> LLM). ChatGPT tidak memiliki koneksi API ke VirusTotal untuk mengambil data teknis JSON yang akan diringkas.
Operasi Umum (GABUNGAN),30. Jasa Visualisasi Data Keamanan,"Klien mengirim CSV, Anda gunakan Data_Visualization untuk membuat 1-2 grafik (misal: sankey diagram alur serangan) & kirim balik (PNG).","Alat web: Unggah CSV, pilih tipe visualisasi (Sankey, Heatmap), dapatkan gambar PNG/SVG.","Saat skrip Data_Visualization Anda bisa mengambil CSV standar & menghasilkan 2-3 jenis grafik (Bar, Pie, Heatmap) sebagai file PNG.","LLM dapat membantu memilih visualisasi terbaik. Dashboard_Prompts_Synthesis adalah bentuk lanjut dari ini, di mana AI memilih grafik dan narasinya.",ChatGPT (versi standar) tidak bisa mengambil CSV dan menghasilkan file gambar visualisasi (PNG/SVG) yang kompleks seperti heatmap atau sankey diagram.
